id,ndex,species,forme,dex1,dex2,type1_id,type2_id,ability1_id,ability2_id,hidden_ability_id,hp,attack,defense,spattack,spdefense,speed,total,weight,height,class,percent_male,percent_female,egg_group1,egg_group2,image_url
383,383,Groudon,Groudon,GROUDON has long been described in  mythology as the POKéMON that raised lands and expanded continents. This POKéMON took to sleep after a cataclysmic battle with KYOGRE.,GROUDON has the power to scatter rain clouds and make water evaporate with light and heat. It came as a savior to people who had been suffering from terrible floods.,9,,70,,,100,150,140,100,90,90,670,2094.4,11.0,Continent Pokémon,,,Undiscovered,,383.png
384,384,Rayquaza,Rayquaza,"RAYQUAZA lived for hundreds of millions of years in the earth’s ozone layer,  never descending to the ground. This POKéMON appears to feed on water and particles in the atmosphere.","RAYQUAZA is said to have lived for hundreds of millions of years in the earth’s ozone layer, above the clouds. Its existence had been completely unknown because it lived so high in the sky.",15,10,76,,,105,150,90,150,90,95,680,455.2,23.0,Sky High Pokémon,,,Undiscovered,,384.png
385,385,Jirachi,Jirachi,"A legend states that JIRACHI will make true any wish that is written on notes attached to its head when it awakens. If this POKéMON senses danger, it will fight without awakening.",JIRACHI will awaken from its sleep of a thousand years if you sing to it in a voice of purity. It is said to make true any wish that people desire.,17,11,32,,,100,100,100,100,100,100,600,2.4,1.0,Wish Pokémon,,,Undiscovered,,385.png
386,386,Deoxys,Deoxys (Normal Forme),The DNA of a space virus underwent a sudden mutation upon exposure to a laser beam and resulted in DEOXYS. The crystalline organ on this POKéMON’s chest appears to be its brain.,DEOXYS emerged from a virus that came from space. It is highly intelligent and wields psychokinetic powers. This POKéMON shoots lasers from the crystalline organ on its chest.,11,,46,,,50,150,50,150,50,150,600,134.0,5.0,DNA Pokémon,,,Undiscovered,,386.png
387,387,Turtwig,Turtwig,"Made from soil, the shell on its back hardens when it drinks water. It lives along lakes.","It undertakes photosynthesis with its body, making oxygen. The leaf on its head wilts if it is thirsty.",5,,65,,75,55,68,64,45,55,31,318,22.5,1.0,Tiny Leaf Pokémon,0.875,0.125,Monster,Grass,387.png
388,388,Grotle,Grotle,"It lives along water in forests. In the daytime, it leaves the forest to sunbathe its treed shell.",The shell is hardened soil. Some Pokémon come to peck the berries growing on the trees on its back.,5,,65,,75,75,89,85,55,65,36,405,213.8,3.0,Grove Pokémon,0.875,0.125,Monster,Grass,388.png
389,389,Torterra,Torterra,Small Pokémon occasionally gather on its unmoving back to begin building their nests.,Groups of this Pokémon migrating in search of water have been mistaken for “moving forests.”,5,9,65,,75,95,109,105,75,85,56,525,683.4,7.0,Continent Pokémon,0.875,0.125,Monster,Grass,389.png
390,390,Chimchar,Chimchar,It agilely scales sheer cliffs to live atop craggy mountains. Its fire is put out when it sleeps.,Its fiery rear end is fueled by gas made in its belly. Even rain can’t extinguish the fire.,2,,66,,89,44,58,44,58,44,61,309,13.7,1.0,Chimp Pokémon,0.875,0.125,Field,Human-Like,390.png
391,391,Monferno,Monferno,"To intimidate attackers, it stretches the fire on its tail to make itself appear bigger.",It uses ceilings and walls to launch aerial attacks. Its fiery tail is but one weapon.,2,7,66,,89,64,78,52,78,52,81,405,48.5,2.0,Playful Pokémon,0.875,0.125,Field,Human-Like,391.png
392,392,Infernape,Infernape,It uses a special kind of martial arts involving all its limbs. Its fire never goes out.,Its crown of fire is indicative of its fiery nature. It is beaten by none in terms of quickness.,2,7,66,,89,76,104,71,104,71,108,534,121.3,3.0,Flame Pokémon,0.875,0.125,Field,Human-Like,392.png
393,393,Piplup,Piplup,"Because it is very proud, it hates accepting food from people. Its thick down guards it from cold.","It lives along shores in northern countries. A skilled swimmer, it dives for over 10 minutes to hunt.",3,,67,,128,53,51,53,61,56,40,314,11.5,1.0,Penguin Pokémon,0.875,0.125,Water 1,Field,393.png
394,394,Prinplup,Prinplup,"It lives alone, away from others. Apparently, every one of them believes it is the most important.",Its wings deliver wicked blows that snap even the thickest of trees. It searches for prey in icy seas.,3,,67,,128,64,66,68,81,76,50,405,50.7,2.0,Penguin Pokémon,0.875,0.125,Water 1,Field,394.png
395,395,Empoleon,Empoleon,The three horns that extend from its beak attest to its power. The leader has the biggest horns.,It swims as fast as a jet boat. The edges of its wings are sharp and can slice apart drifting ice.,3,17,67,,128,84,86,88,111,101,60,530,186.3,5.0,Emperor Pokémon,0.875,0.125,Water 1,Field,395.png
396,396,Starly,Starly,"They flock in great numbers. Though small, they flap their wings with great power.","Usually with a large flock, it is barely noticeable when alone. Its cries are very strident.",1,10,51,,120,40,55,30,30,30,60,245,4.4,1.0,Starling Pokémon,0.5,0.5,Flying,,396.png
397,397,Staravia,Staravia,It flies around forests and fields in search of bug Pokémon. It stays within a huge flock.,It lives in forests and fields. Squabbles over territory occur when flocks collide.,1,10,22,,120,55,75,50,40,40,80,340,34.2,2.0,Starling Pokémon,0.5,0.5,Flying,,397.png
398,398,Staraptor,Staraptor,It has a savage nature. It will courageously challenge foes that are much larger.,The muscles in its wings and legs are strong. It can easily fly while gripping a small Pokémon.,1,10,22,,120,85,120,70,50,60,100,485,54.9,3.0,Predator Pokémon,0.5,0.5,Flying,,398.png
399,399,Bidoof,Bidoof,"With nerves of steel, nothing can perturb it. It is more agile and active than it appears.",It constantly gnaws on logs and rocks to whittle down its front teeth. It nests alongside water.,1,,86,109,141,59,45,40,35,40,31,250,44.1,1.0,Plump Mouse Pokémon,0.5,0.5,Water 1,Field,399.png
400,400,Bibarel,Bibarel,It makes its nest by damming streams with bark and mud. It is known as an industrious worker.,"While its movements out of water are sluggish, it can swim as fast as any FEEBAS.",1,3,86,109,141,79,85,60,55,60,71,410,69.4,3.0,Beaver Pokémon,0.5,0.5,Water 1,Field,400.png
401,401,Kricketot,Kricketot,"It shakes its head back to front, causing its antennae to hit each other and sound like a xylophone.",It chats with others using the sounds of its colliding antennae. These sounds are fall hallmarks.,12,,61,,50,37,25,41,25,41,25,194,4.9,1.0,Cricket Pokémon,0.5,0.5,Bug,,401.png
402,402,Kricketune,Kricketune,It crosses its knifelike arms in front of its chest when it cries. It can compose melodies ad lib.,It signals its emotions with its melodies. Scientists are studying these melodic patterns.,12,,68,,101,77,85,51,55,51,65,384,56.2,3.0,Cricket Pokémon,0.5,0.5,Bug,,402.png
403,403,Shinx,Shinx,All of its fur dazzles if danger is sensed. It flees while the foe is momentarily blinded.,Its forelegs have a muscle-based system of generating electricity. Its body shines if endangered.,4,,79,22,62,45,65,34,40,34,45,263,20.9,1.0,Flash Pokémon,0.5,0.5,Field,,403.png
404,404,Luxio,Luxio,Its claws loose electricity with enough amperage to cause fainting. They live in small groups.,It rests its forelegs on others to communicate with rhythmic electric pulses from its claws.,4,,79,22,62,60,85,49,60,49,60,363,67.2,2.0,Spark Pokémon,0.5,0.5,Field,,404.png
405,405,Luxray,Luxray,It has eyes that can see through anything. It spots and captures prey hiding behind objects.,"When its eyes gleam gold, it can spot hiding prey--even those taking shelter behind a wall.",4,,79,22,62,80,120,79,95,79,70,523,92.6,4.0,Gleam Eyes Pokémon,0.5,0.5,Field,,405.png
406,406,Budew,Budew,"Over the winter, it closes its bud and endures the cold. In spring, the bud opens and releases pollen.",It lives alongside clear ponds. It scatters pollen that induces harsh sneezing and runny noses.,5,8,104,,125,40,30,35,50,70,55,280,2.6,0.0,Bud Pokémon,0.5,0.5,Undiscovered,,406.png
407,407,Roserade,Roserade,"It attracts prey with a sweet aroma, then downs it with thorny whips hidden in its arms.","With the movements of a dancer, it strikes with whips that are densely lined with poison thorns.",5,8,104,,125,60,70,65,125,105,90,515,32.0,2.0,Bouquet Pokémon,0.5,0.5,Fairy,Grass,407.png
408,408,Cranidos,Cranidos,It lived in jungles around a hundred million years ago. It used its skillful headbutts to combat Aerodactyl.,"In rock layers where Cranidos fossils are found, the fossilized trunks of trees snapped in two are also often found.",13,,5,,43,67,125,40,30,30,58,350,69.4,2.0,Head Butt Pokémon,0.875,0.125,Monster,,408.png
409,409,Rampardos,Rampardos,"The result of repeated headbutts is a skull grown thick and hard. However, its brain has shrunk in size compared with Cranidos’s.",Records exist of a revived fossil that evolved into Rampardos. It proceeded to escape and then destroy a skyscraper with a headbutt.,13,,5,,43,97,165,60,65,50,58,495,226.0,5.0,Head Butt Pokémon,0.875,0.125,Monster,,409.png
410,410,Shieldon,Shieldon,"Many fossils of this Pokémon have been found, but almost none have shown signs of damage to the face.","This Pokémon lived in primeval jungles. Few enemies would have been willing to square off against its heavily armored face, so it’s thought.",13,17,61,,142,30,42,118,42,88,30,350,125.7,1.0,Shield Pokémon,0.875,0.125,Monster,,410.png
411,411,Bastiodon,Bastiodon,"While it can guard against any sort of attack from the front, it is left without recourse when attacked from behind.",It lived in the same environments as Rampardos. Their fossils have been found together— seemingly from after they’d fought to the finish.,13,17,61,,142,60,52,168,47,138,30,495,329.6,4.0,Shield Pokémon,0.875,0.125,Monster,,411.png
412,412,Burmy,Burmy (Plant Cloak),"To shelter itself from cold, wintry winds, it covers itself with a cloak made of twigs and leaves.","If its cloak is broken in battle, it quickly remakes the cloak with materials nearby.",12,,61,,142,40,29,45,29,45,36,224,7.5,0.0,Bagworm Pokémon,0.5,0.5,Bug,,412.png
413,413,Wormadam,Wormadam (Plant Cloak),"When BURMY evolved, its cloak became a part of this Pokémon’s body. The cloak is never shed.",Its appearance changes depending on where it evolved. The materials on hand become a part of its body.,12,5,107,,142,60,59,85,79,105,36,424,14.3,1.0,Bagworm Pokémon,0.0,1.0,Bug,,413.png
414,414,Mothim,Mothim,It loves the honey of flowers and steals honey collected by COMBEE.,It does not keep a nest. It flies over fields and mountains in constant search of floral honey.,12,10,68,,110,70,94,50,94,50,66,424,51.4,2.0,Moth Pokémon,1.0,0.0,Bug,,414.png
415,415,Combee,Combee,A Pokémon formed by three others. It busily carries sweet floral honey to VESPIQUEN.,"It collects and delivers honey to its colony. At night, they cluster to form a beehive and sleep.",12,10,118,,55,30,30,42,30,42,70,244,12.1,1.0,Tiny Bee Pokémon,0.875,0.125,Bug,,415.png
416,416,Vespiquen,Vespiquen,Its abdomen is a honeycomb for grubs. It raises its grubs on honey collected by COMBEE.,"When endangered, grubs from its six-cell honeycomb strike back. There is only one in a colony.",12,10,46,,127,70,80,102,80,102,40,474,84.9,3.0,Beehive Pokémon,0.0,1.0,Bug,,416.png
417,417,Pachirisu,Pachirisu,It makes fur balls that crackle with static electricity. It stores them with berries in tree holes.,It makes electricity with pouches in its cheeks and shoots charges from its tail. It lives atop trees.,4,,50,53,10,60,45,70,45,90,95,405,8.6,1.0,EleSquirrel Pokémon,0.5,0.5,Field,Fairy,417.png
418,418,Buizel,Buizel,It has a flotation sac that is like an inflatable collar. It floats on water with its head out.,"It swims by rotating its two tails like a screw. When it dives, its flotation sac collapses.",3,,33,,41,55,65,35,60,30,85,330,65.0,2.0,Sea Weasel Pokémon,0.5,0.5,Water 1,Field,418.png
419,419,Floatzel,Floatzel,It floats using its well-developed flotation sac. It assists in the rescues of drowning people.,Its flotation sac developed as a result of pursuing aquatic prey. It can double as a rubber raft.,3,,33,,41,85,105,55,85,50,115,495,73.9,3.0,Sea Weasel Pokémon,0.5,0.5,Water 1,Field,419.png
420,420,Cherubi,Cherubi,"The small ball holds the nutrients needed for evolution. Apparently, it is very sweet and tasty.","Sunlight colors it red. When the small ball is drained of nutrients, it shrivels to herald evolution.",5,,34,,,45,35,45,62,53,35,275,7.3,1.0,Cherry Pokémon,0.5,0.5,Fairy,Grass,420.png
421,421,Cherrim,Cherrim (Overcast Form),It blooms during times of strong sunlight. It tries to make up for everything it endured as a bud.,"It is docile as a bud, but turns cheerful when it blooms. It folds back into a bud if sunlight wanes.",5,,122,,,70,60,70,87,78,85,450,20.5,1.0,Blossom Pokémon,0.5,0.5,Fairy,Grass,421.png
422,422,Shellos,Shellos (West Sea),"For the most part, it makes its home along the seashore. Its color and form differ according to its habitat and the quality of its food.","Purple mucus sticks to the hands of anyone who touches it. Take care, as the substance is troublesome to wash off.",3,,60,114,159,76,48,48,57,62,34,325,13.9,1.0,Sea Slug Pokémon,0.5,0.5,Water 1,Amorphous,422.png
423,423,Gastrodon,Gastrodon (West Sea),"It has strong regenerative capabilities. Even if parts of it are bitten off by fish Pokémon, it will return to normal within a few hours.","Plankton, invisible to the naked eye, is its main food source. It comes onto the land periodically, but the reason for this is not known.",3,9,60,114,159,111,83,68,92,82,39,475,65.9,2.0,Sea Slug Pokémon,0.5,0.5,Water 1,Amorphous,423.png
424,424,Ambipom,Ambipom,"To eat, it deftly shucks nuts with its two tails. It rarely uses its arms now.","They work in large colonies and make rings by linking their tails, apparently in friendship.",1,,101,53,92,75,100,66,60,66,115,482,44.8,3.0,Long Tail Pokémon,0.5,0.5,Field,,424.png
425,425,Drifloon,Drifloon,Stories go that it grabs the hands of small children and drags them away to the afterlife. It dislikes heavy children.,"If for some reason its body bursts, its soul spills out with a screaming sound.",14,10,106,84,138,90,50,34,60,44,70,348,2.6,1.0,Balloon Pokémon,0.5,0.5,Amorphous,,425.png
426,426,Drifblim,Drifblim,"There was once an incident in which a man took a trip riding a Drifblim, only to go missing.","Even while under careful observation, large flocks of Drifblim flying at dusk will inexplicably disappear from view.",14,10,106,84,138,150,80,44,90,54,80,498,33.1,3.0,Blimp Pokémon,0.5,0.5,Amorphous,,426.png
427,427,Buneary,Buneary,It slams foes by sharply uncoiling its rolled ears. It stings enough to make a grown-up cry in pain.,"When it senses danger, it perks up its ears. On cold nights, it sleeps with its head tucked into its fur.",1,,50,103,7,55,66,44,44,56,85,350,12.1,1.0,Rabbit Pokémon,0.5,0.5,Field,Human-Like,427.png
428,428,Lopunny,Lopunny,An extremely cautious Pokémon. It cloaks its body with its fluffy ear fur when it senses danger.,It is very conscious of its looks and never fails to groom its ears. It runs with sprightly jumps.,1,,56,103,7,65,76,84,54,96,105,480,73.4,3.0,Rabbit Pokémon,0.5,0.5,Field,Human-Like,428.png
429,429,Mismagius,Mismagius,"It appears as if from nowhere—muttering incantations, placing curses, and giving people terrifying visions.","Mismagius have been known to cast spells to make people fall in love, so some people search for this Pokémon as if their life depended on it.",14,,26,,,60,60,60,105,105,105,495,9.7,2.0,Magical Pokémon,0.5,0.5,Amorphous,,429.png
430,430,Honchkrow,Honchkrow,"A single cry from this nocturnal Pokémon, and more than a hundred of its Murkrow cronies will assemble.","If its Murkrow cronies fail to catch food for it, or if it feels they have betrayed it, it will hunt them down wherever they are and punish them.",16,10,15,105,153,100,125,52,105,52,71,505,60.2,2.0,Big Boss Pokémon,0.5,0.5,Flying,,430.png
431,431,Glameow,Glameow,It claws if displeased and purrs when affectionate. Its fickleness is very popular among some.,"With its sharp glare, it puts foes in a mild hypnotic state. It is a very fickle Pokémon.",1,,7,20,51,49,55,42,42,37,85,310,8.6,1.0,Catty Pokémon,0.25,0.75,Field,,431.png
432,432,Purugly,Purugly,It is a brazen brute that barges its way into another Pokémon’s nest and claims it as its own.,"To make itself appear intimidatingly beefy, it tightly cinches its waist with its twin tails.",1,,47,20,128,71,82,64,64,59,112,452,96.6,3.0,Tiger Cat Pokémon,0.25,0.75,Field,,432.png
433,433,Chingling,Chingling,It emits cries by agitating an orb at the back of its throat. It moves with flouncing hops.,"Each time it hops, it makes a ringing sound. It deafens foes by emitting high-frequency cries.",11,,26,,,45,30,50,65,50,45,285,1.3,0.0,Bell Pokémon,0.5,0.5,Undiscovered,,433.png
434,434,Stunky,Stunky,It protects itself by spraying a noxious fluid from its rear. The stench lingers for 24 hours.,"It sprays a nose-curling, stinky fluid from its rear to repel attackers.",8,16,1,106,51,63,63,47,41,41,74,329,42.3,1.0,Skunk Pokémon,0.5,0.5,Field,,434.png
435,435,Skuntank,Skuntank,It sprays a vile-smelling fluid from the tip of its tail to attack. Its range is over 160 feet.,It sprays a stinky fluid from its tail. The fluid smells worse the longer it is allowed to fester.,8,16,1,106,51,103,93,67,71,61,84,479,83.8,3.0,Skunk Pokémon,0.5,0.5,Field,,435.png
436,436,Bronzor,Bronzor,Implements shaped like it were discovered in ancient tombs. It is unknown if they are related.,"X-ray photos were taken to check its body structure. Nothing appeared, however.",17,11,26,85,134,57,24,86,24,86,23,300,133.4,1.0,Bronze Pokémon,,,Mineral,,436.png
437,437,Bronzong,Bronzong,"One caused a news sensation when it was dug up at a construction site after a 2,000-year sleep.",It can summon rain clouds. People long ago revered it as the bringer of plentiful harvests.,17,11,26,85,134,67,89,116,79,116,33,500,412.3,4.0,Bronze Bell Pokémon,,,Mineral,,437.png
438,438,Bonsly,Bonsly,"It does not deal well with water, so it lives in dry locales. Since its surroundings tend to lack greenery, it stands out noticeably.","From its eyes, it can expel excess moisture from its body. This liquid is similar in composition to human sweat.",13,,5,69,155,50,80,95,10,45,10,290,33.1,1.0,Bonsai Pokémon,0.5,0.5,Undiscovered,,438.png
439,439,Mime Jr.,Mime Jr.,"It does its absolute best to mimic the movements and expressions of its opponents, but it’s still not very good at it.","When this gifted mimic surprises an opponent, Mime Jr. feels so happy that it ends up forgetting it was imitating something.",11,18,43,111,101,20,25,45,70,90,60,310,28.7,2.0,Mime Pokémon,0.5,0.5,Undiscovered,,439.png
440,440,Happiny,Happiny,"It carries a round white rock in its belly pouch. If it gets along well with someone, it will sometimes give that person the rock.","It’s too small to lay eggs yet. As a surrogate, it searches out round white stones.",1,,30,32,132,100,5,5,15,65,30,220,53.8,2.0,Playhouse Pokémon,0.0,1.0,Undiscovered,,440.png
441,441,Chatot,Chatot,"It can learn and speak human words. If they gather, they all learn the same saying.",It keeps rhythm by flicking its tail feathers like a metronome. It imitates human speech.,1,10,51,77,145,76,65,45,92,42,91,411,4.2,1.0,Music Note Pokémon,0.5,0.5,Flying,,441.png
442,442,Spiritomb,Spiritomb,A Pokémon that was formed by 108 spirits. It is bound to a fissure in an odd keystone.,It was bound to a fissure in an odd keystone as punishment for misdeeds 500 years ago.,14,,46,,151,50,92,108,92,108,35,485,238.1,3.0,Forbidden Pokémon,0.5,0.5,Amorphous,,442.png
443,443,Gible,Gible,"It lives in caves warmed by geothermal heat. Even so, when the weather gets cold, it will huddle close with others of its kind.","It skulks in caves, and when prey or an enemy passes by, it leaps out and chomps them. The force of its attack sometimes chips its teeth.",15,9,8,,24,58,70,45,40,45,42,300,45.2,2.0,Land Shark Pokémon,0.5,0.5,Monster,Dragon,443.png
444,444,Gabite,Gabite,"In rare cases, it molts and sheds its scales. Medicine containing its scales as an ingredient will make a weary body feel invigorated.","Shiny objects are its passion. It can be found in its cave, scarcely moving, its gaze fixed on the jewels it’s amassed or Carbink it has caught.",15,9,8,,24,68,90,65,50,55,82,410,123.5,4.0,Cave Pokémon,0.5,0.5,Monster,Dragon,444.png
445,445,Garchomp,Garchomp,It can fly at speeds rivaling jet planes. It dives into flocks of bird Pokémon and gulps the entire flock down whole.,The protuberances on its head serve as sensors. It can even detect distant prey.,15,9,8,,24,108,130,95,80,85,102,600,209.4,6.0,Mach Pokémon,0.5,0.5,Monster,Dragon,445.png
446,446,Munchlax,Munchlax,"It needs to consume its own weight in food every day. As far as flavor is concerned, it’s indifferent.","When it finds something that looks like it might be edible, it goes right ahead and swallows it whole. That’s why it gets fatter day by day.",1,,53,47,82,135,85,40,40,85,5,390,231.5,2.0,Big Eater Pokémon,0.875,0.125,Undiscovered,,446.png
447,447,Riolu,Riolu,"It can discern the physical and emotional states of people, Pokémon, and other natural things from the shape of their aura waves.","It’s tough enough to run right through the night, and it’s also a hard worker, but it’s still just a youngster.",7,,80,39,158,40,70,40,35,40,60,285,44.5,2.0,Emanation Pokémon,0.875,0.125,Undiscovered,,447.png
448,448,Lucario,Lucario,"Not only does it perceive auras, but it has also gained the power to control them. It employs them in battle.",They can detect the species of a living being— and its emotions—from over half a mile away. They control auras and hunt their prey in packs.,7,17,80,39,154,70,110,70,115,70,90,525,119.0,3.0,Aura Pokémon,0.875,0.125,Field,Human-Like,448.png
449,449,Hippopotas,Hippopotas,"It lives in arid places. Instead of perspiration, it expels grainy sand from its body.",It enshrouds itself with sand to protect itself from germs. It does not enjoy getting wet.,9,,45,,159,68,72,78,38,42,32,330,109.1,2.0,Hippo Pokémon,0.5,0.5,Field,,449.png
450,450,Hippowdon,Hippowdon,It blasts internally stored sand from ports on its body to create a towering twister for attack.,Its huge mouth is almost seven feet across. It has enough power to completely crush a car.,9,,45,,159,108,112,118,68,72,47,525,661.4,6.0,Heavyweight Pokémon,0.5,0.5,Field,,450.png
451,451,Skorupi,Skorupi,It grips prey with its tail claws and injects poison. It tenaciously hangs on until the poison takes.,It lives in arid lands. It buries itself in sand and lies in wait for unsuspecting prey.,8,12,4,97,51,40,50,90,30,55,65,330,26.5,2.0,Scorpion Pokémon,0.5,0.5,Bug,Water 3,451.png
452,452,Drapion,Drapion,It has the power in its clawed arms to make scrap of a car. The tips of its claws release poison.,"Its body is encased in a sturdy shell. Its head rotates 180 degrees, eliminating blind spots.",8,16,4,97,51,70,90,110,60,75,95,500,135.6,4.0,Ogre Scorpion Pokémon,0.5,0.5,Bug,Water 3,452.png
453,453,Croagunk,Croagunk,Its cheeks hold poison sacs. It tries to catch foes off guard to jab them with toxic fingers.,"Inflating its poison sacs, it makes an eerie blubbering sound for intimidation.",8,7,107,87,143,48,61,40,61,40,50,300,50.7,2.0,Toxic Mouth Pokémon,0.5,0.5,Human-Like,,453.png
454,454,Toxicroak,Toxicroak,Its knuckle claws secrete a toxin so vile that even a scratch could prove fatal.,The toxin made in its poison sacs is pumped to the knuckle claws through tubes down its arms.,8,7,107,87,143,83,106,65,86,65,85,490,97.9,4.0,Toxic Mouth Pokémon,0.5,0.5,Human-Like,,454.png
455,455,Carnivine,Carnivine,"It attracts prey with its sweet-smelling saliva, then chomps down. It takes a whole day to eat prey.","Hanging from branches using its tentacles, it looks like a plant. It awaits prey, mouth wide open.",5,,26,,,74,100,72,90,72,46,454,59.5,4.0,Bug Catcher Pokémon,0.5,0.5,Grass,,455.png
456,456,Finneon,Finneon,"It absorbs sunlight with the pink areas of its skin, which then shine. This appears to be a form of camouflage.","Its double tail fins propel its energetic jumps. When it breaks the surface of the sea, Wingull swoop down to grab it on the fly.",3,,33,114,41,49,49,56,49,61,66,330,15.4,1.0,Wing Fish Pokémon,0.5,0.5,Water 2,,456.png
457,457,Lumineon,Lumineon,"With its shining light, it lures its prey close. However, the light also happens to attract ferocious fish Pokémon—its natural predators.",This deep-sea Pokémon lives at the bottom of the sea. Its fins haul it over the seabed in search of its favorite food—Starmie.,3,,33,114,41,69,69,76,69,86,91,460,52.9,3.0,Neon Pokémon,0.5,0.5,Water 2,,457.png
458,458,Mantyke,Mantyke,A friendly Pokémon that captures the subtle flows of seawater using its two antennae.,Scientists discovered that the distinctive patterns on its back differ by region.,3,10,33,11,41,45,20,50,60,120,50,345,143.3,3.0,Kite Pokémon,0.5,0.5,Undiscovered,,458.png
459,459,Snover,Snover,"It lives on snowy mountains. Having had little contact with humans, it is boldly inquisitive.","In the spring, it grows berries with the texture of frozen treats around its belly.",5,6,117,,43,60,62,50,62,60,40,334,111.3,3.0,Frost Tree Pokémon,0.5,0.5,Monster,Grass,459.png
460,460,Abomasnow,Abomasnow,It whips up blizzards in mountains that are always buried in snow. It is the abominable snowman.,It blankets wide areas in snow by whipping up blizzards. It is also known as “The Ice Monster.”,5,6,117,,43,90,92,75,92,85,60,494,298.7,7.0,Frost Tree Pokémon,0.5,0.5,Monster,Grass,460.png
461,461,Weavile,Weavile,"They travel in groups of four or five, leaving signs for one another on trees and rocks. They bring down their prey with coordinated attacks.","They dwell in cold places. This Pokémon’s main food source in Alola is Vulpix and Sandshrew, which they carefully divide among their group.",16,6,46,,124,70,120,65,45,85,125,510,75.0,3.0,Sharp Claw Pokémon,0.5,0.5,Field,,461.png
462,462,Magnezone,Magnezone,Three units generate magnetism. There have been many mistaken reports of UFO sightings when Magnezone flies through the night sky.,"As it zooms through the sky, this Pokémon seems to be receiving signals of unknown origin, while transmitting signals of unknown purpose.",4,17,42,5,148,70,70,115,130,90,60,535,396.8,3.0,Magnet Area Pokémon,0.5,0.5,Mineral,,462.png
463,463,Lickilicky,Lickilicky,It wraps things with its extensible tongue. Getting too close to it will leave you soaked with drool.,The long tongue is always soggy with slobber. The saliva contains a solvent that causes numbness.,1,,20,12,13,110,85,95,80,95,50,515,308.6,5.0,Licking Pokémon,0.5,0.5,Monster,,463.png
464,464,Rhyperior,Rhyperior,It puts rocks in holes in its palms and uses its muscles to shoot them. GEODUDE are shot at rare times.,It can launch a rock held in its hand like a missile by tightening then expanding muscles instantly.,9,13,31,116,120,115,140,130,55,55,40,535,623.5,7.0,Drill Pokémon,0.5,0.5,Monster,Field,464.png
465,465,Tangrowth,Tangrowth,It ensnares prey by extending arms made of vines. Losing arms to predators does not trouble it.,Its arms are made of plants that bind themselves to things. They grow back right away if cut.,5,,34,102,144,100,100,125,110,50,50,535,283.5,6.0,Vine Pokémon,0.5,0.5,Grass,,465.png
466,466,Electivire,Electivire,It pushes the tips of its tails against its foes and then lets loose a high-voltage current. Its foes are burned to a crisp in an instant.,"When it gets excited, it thumps its chest. With every thud, thunder roars and electric sparks shower all around.",4,,78,,72,75,123,67,95,85,95,540,305.6,5.0,Thunderbolt Pokémon,0.5,0.5,Human-Like,,466.png
467,467,Magmortar,Magmortar,"They dwell in volcanic craters. According to what is known, a single pair of male and female Magmortar lives in one volcano.","From its arm, it launches fireballs hotter than 3,500 degrees Fahrenheit. Its arm starts to melt when it fires a whole barrage.",2,,49,,72,75,95,67,125,95,83,540,149.9,5.0,Blast Pokémon,0.5,0.5,Human-Like,,467.png
468,468,Togekiss,Togekiss,It will never appear where there is strife. Its sightings have become rare recently.,It shares many blessings with people who respect one another’s rights and avoid needless strife.,18,10,55,32,105,85,50,95,120,115,80,545,83.8,4.0,Jubilee Pokémon,0.875,0.125,Flying,Fairy,468.png
469,469,Yanmega,Yanmega,"By churning its wings, it creates shock waves that inflict critical internal injuries to foes.",Its jaw power is incredible. It is adept at biting apart foes while flying by at high speed.,12,10,3,110,119,86,76,86,116,56,95,515,113.5,6.0,Ogre Darner Pokémon,0.5,0.5,Bug,,469.png
470,470,Leafeon,Leafeon,Its cellular composition is closer to that of a plant than an animal. It uses photosynthesis to produce its energy supply without eating food.,"The younger they are, the more they smell like fresh grass. With age, their fragrance takes on the odor of fallen leaves.",5,,102,,34,65,110,130,60,65,95,525,56.2,3.0,Verdant Pokémon,0.875,0.125,Field,,470.png
471,471,Glaceon,Glaceon,"It can control its body temperature at will. This enables it to freeze the moisture in the atmosphere, creating flurries of diamond dust.","It freezes its fur into icicles, spiky and sharp, and tackles its prey.",6,,81,,115,65,60,110,130,95,65,525,57.1,2.0,Fresh Snow Pokémon,0.875,0.125,Field,,471.png
472,472,Gliscor,Gliscor,"It observes prey while hanging inverted from branches. When the chance presents itself, it swoops!","If it succeeds in catching even a faint breeze properly, it can circle the globe without flapping once.",9,10,52,8,90,75,95,125,45,75,95,510,93.7,6.0,Fang Scorpion Pokémon,0.5,0.5,Bug,,472.png
473,473,Mamoswine,Mamoswine,Its impressive tusks are made of ice. The population thinned when it turned warm after the ice age.,"A frozen one was dug up from soil dating back 10,000 years. It woke up to much amazement.",6,9,12,81,47,110,130,80,70,60,80,530,641.5,8.0,Twin Tusk Pokémon,0.5,0.5,Field,,473.png
474,474,Porygon-Z,Porygon-Z,"In order to create a more advanced Pokémon, an additional program was installed, but apparently it contained a defect that makes it move oddly.","Its program was modified to facilitate extra-dimensional activities, but that led to noticeably strange behavior.",1,,91,88,148,85,80,70,135,75,90,535,75.0,2.0,Virtual Pokémon,,,Mineral,,474.png
475,475,Gallade,Gallade,"A master of courtesy and swordsmanship, it fights using extending swords on its elbows.","When trying to protect someone, it extends its elbows as if they were swords and fights savagely.",11,7,80,,154,68,125,65,65,115,80,518,114.6,5.0,Blade Pokémon,1.0,0.0,Amorphous,,475.png
